위치,자치구명,공원명,미세먼지(㎍/㎥),배출량(C),재활용
서울특별시 서대문구 통일로 영천시장 (13037),서대문구,0,32,1604.9,1490.7
서울특별시 서초구 강남대로 577(셀리트룸 화장품) ‘신사역 마을버스정류장’ 옆,서초구,0,39,3801.7,3566.8
서울특별시 강남구 신사동사무소,강남구,0,32,3718,3059.5
서울특별시 동대문구 고산자로 476,동대문구,0,33,1367.2,1234.7
서울특별시 중구 동화면세점 앞 공항버스 정류장,중구,0,36,1468.2,1268
서울특별시 서초구 효령로 336 버스정류장 앞,서초구,0,39,3801.7,3566.8
서울특별시 은평구 연서로 36 역촌초 Bus정류장 옆,은평구,0,38,2311.2,2146.4
서울특별시 성동구 성수동2가275-53,성동구,0,34,2181.2,1442.1
서울특별시 강북구 우이초교 후문 정류장 인수봉로207,강북구,0,32,851,772.1
서울특별시 중구 약수역 9번 출구,중구,0,36,1468.2,1268
서울특별시 광진구 현대9차아파트 정류장,광진구,0,33,1379.4,1290.4
서울특별시 광진구 중곡동입구 버스정류장(하행),광진구,0,33,1379.4,1290.4
서울특별시 마포구 광흥창역 서강주민센터 버스정류장(14-201),마포구,0,34,1979.4,1753.4
서울특별시 서대문구 연희동 연희로46(13147),서대문구,0,32,1604.9,1490.7
서울특별시 금천구 독산로 356-1(독산동 960-6),금천구,0,35,1936.9,1798.5
서울특별시 관악구 신림로 282,관악구,0,35,1666.5,1533.2
서울특별시 강동구 강일6단지610동 정류장,강동구,0,37,4555.5,4356.1
서울특별시 강남구 밀레하우스,강남구,0,32,3718,3059.5
서울특별시 강서구 허준로 50 동양고등학교 버스정류장,강서구,1,38,2949.5,2213.8
서울특별시 강북구 삼각산로165,강북구,0,32,851,772.1
서울특별시 강남구 타이어 프로,강남구,0,32,3718,3059.5
서울특별시 동작구 이수교회 앞,동작구,0,40,1514.3,1410.9
서울특별시 송파구 문정동 205-3,송파구,0,34,2353.1,2041.2
서울특별시 강서구 양천로 628 태영송화아파트 버스정류장,강서구,0,38,2949.5,2213.8
서울특별시 구로구 경인로 201,구로구,0,37,1333.4,1111.4
서울특별시 강서구 가양도시개발4단지아파트16-235,강서구,1,38,2949.5,2213.8
서울특별시 관악구 사당역 6번 출구,관악구,0,35,1666.5,1533.2
서울특별시 광진구 국립정신건강센터 앞,광진구,0,33,1379.4,1290.4
서울특별시 중구 퇴계로 3가 파파이스 앞,중구,0,36,1468.2,1268
서울특별시 동작구 교수아파트정류장(ID:20-928),동작구,0,40,1514.3,1410.9
