위치,자치구명,공원명,미세먼지(㎍/㎥),배출량(C),재활용,cluster
서울특별시 강서구 허준로 50 동양고등학교 버스정류장,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 양천로 628 태영송화아파트 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 가양도시개발4단지아파트16-235,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 등촌3동그랜드백화점 버스정류장(16-219),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 양천향교역16-309,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 명덕고등학교16-216,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 허준로 47 가양2단지성지아파트 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화곡동대림아파트(16-195),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 국립국어원16-133,강서구,2,38,2949.5,2213.8,2
서울특별시 강서구 개화파출소앞16-167,강서구,2,38,2949.5,2213.8,2
서울특별시 강서구 황외과앞버스정류장(16-190),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡중앙10로 30 LG사이언스파크 ISC통합지원센터,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 서남물재생센터(16-276),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화곡시장16-146,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 하이웨이주유소16-106,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 염창동새마을금고 버스정류장(16-248),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화곡역에이스정형외과16-147,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 엠벨리15단지 버스정류장 앞16-428,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서구청앞2,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 송정역(중)(16-015),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서소방서.이마트.증미역(16256),강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 하이웨이주유소건너,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡역 버스정류장(16-018),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 호서전문학교16-221,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화곡역에이스정형외과16-148,강서구,0,38,2949.5,2213.8,0
"서울특별시 강서구 화곡역7,8번출구쪽",강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서구청가양별관16-241,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서평생학습관 앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 신방화역 5번 출구 행복부동산 앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 국민은행방화동지점,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 힐스테이트에코오피스텔 앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 호서전문학교16-222,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서세무서.공항초교(16-528),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 목동사거리16-179,강서구,0,38,2949.5,2213.8,0
"서울특별시 강서구 블루나인비지니스센터,이마트16-254",강서구,2,38,2949.5,2213.8,2
서울특별시 구로구 경인로 662(현대백화점 앞),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 등촌로 41 강서농협 앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 국민은행공항동16-120,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 양천향교역.휴먼빌아파트버스정류장(16-225),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 발산역힐스테이트16-218,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 가양동천주교회26-232,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 폴리텍대학16-144,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡중앙10로 30 LG사이언스파크 ISC통합지원센터 후면,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 제일성심병원16-341,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 신방화역 3번출구,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 개화2치안센터 버스정류장(16-168),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 까치산역2번출구(16-191),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡중앙10로 70 LG사이언스파크 E-14동,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서보건소 앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 우장산역 4번출구16-974,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 등촌동대림아파트16-265,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 서남물재생센터(16-275),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡동로 55 사거리,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화곡푸르지오16-149,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마포고등학교16-136,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 공항중학교 버스정류장(16-115),강서구,0,38,2949.5,2213.8,0
