고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분
서울 강서구 염창동 53-1,37.55350887,126.8711003,강서구,염창주민센터 사거리 주변,불법주정차구역
가양동 1497,37.567514,126.848718,강서구,가양보람아파트 정문 주변,불법주정차구역
가양동 1500,37.567363,126.84981,강서구,한강자이아파트 출입구 주변,불법주정차구역
서울 강서구 염창동 254-2,37.55072192,126.8764235,강서구,무학아파트 105동주변,불법주정차구역
서울 강서구 화곡동 1075-25,37.54093447,126.8407663,강서구,화곡역 인품빌딩 주변,불법주정차구역
서울 강서구 화곡동 340-53,37.53272245,126.8463134,강서구,까치산역 1번 출구 주변,불법주정차구역
등촌3동 14-18,37.56419,126.84892,강서구,홈플러스 가양점 주변,불법주정차구역
우장산동 677-11,37.552696,126.83655,강서구,미즈메디병원 주변,불법주정차구역
서울 강서구 화곡동 1065-24,37.54160894,126.83982,강서구,화곡역 7번 출구 주변,불법주정차구역
서울 강서구 방화동 886,37.56241102,126.802814,강서구,김포공항 롯데몰 주변,불법주정차구역
서울 강서구 등촌동 638,37.55807294,126.8578196,강서구,서광등촌아파트 정문 주변,불법주정차구역
내발산동 668,37.55473213,126.8361923,강서구,가곡초등학교 정문 주변,불법주정차구역
방화동 589-9,37.56787255,126.8092133,강서구,방화태승훼미리3차 주변,불법주정차구역
서울 강서구 염창동 258-1,37.54941757,126.8767118,강서구,동아3차아파트 상가 주변,불법주정차구역
마곡동 717,37.57448793,126.8369102,강서구,금호어울림 버스정류장 주변,불법주정차구역
화곡동 1091-10,37.54739167,126.8331669,강서구,화곡푸르지오 후문 주변,불법주정차구역
서울 강서구 화곡동 98-99,37.54186736,126.8444163,강서구,볏골공원 주변,불법주정차구역
서울 강서구 화곡동 340-47,37.53347424,126.8458933,강서구,화곡터널 주변,불법주정차구역
화곡동 98-150,37.54263,126.84385,강서구,화곡본동시장(구도로),불법주정차구역
화곡본동 1076-1,37.541706,126.84104,강서구,화곡역 3번 출구 주변,불법주정차구역
염창동 267-19,37.55179922,126.8677853,강서구,염창초교 앞 주변,불법주정차구역
등촌1동 628-15,37.558857,126.856155,강서구,라인아파트 정문 주변,불법주정차구역
가양동 187-6,37.56995022,126.8408382,강서구,양천초교 앞 주변,불법주정차구역
화곡8동 893-1,37.5297,126.84811,강서구,KT화곡지사 주변,불법주정차구역
등촌1동 630-13,37.557632,126.861275,강서구,증미역 4번출구 주변,불법주정차구역
화곡1동 362-84,37.53432124,126.838289,강서구,화곡1동 우리은행,불법주정차구역
염창동 281-22,37.54871413,126.8738642,강서구,이수어린이공원 주변,불법주정차구역
서울 강서구 마곡동 785-7,37.56350656,126.8390007,강서구,유림트윈파크 주변,불법주정차구역
서울 강서구 마곡동 776-6,37.56676068,126.8401228,강서구,좋은책신사고 주변,불법주정차구역
마곡동 731-107,37.56657951,126.8176945,강서구,신방화역 환승주차장 주변,불법주정차구역
서울 강서구 마곡동 795-4,37.56019092,126.8357482,강서구,인터시티서울호텔 주변,불법주정차구역
마곡동 728-213,37.55790953,126.8298407,강서구,마곡엠벨리15단지 주변,불법주정차구역
서울 강서구 마곡동 792-8,37.5610513,126.8373252,강서구,화천종합연구센터 주변,불법주정차구역
서울 강서구 마곡동 736,37.56889986,126.8193472,강서구,엠벨리3단지 301동 주변,불법주정차구역
서울 강서구 마곡동 748,37.55854195,126.8201885,강서구,엠벨리10-13단지 사이 주변,불법주정차구역
마곡동 721-8,37.55796237,126.826455,강서구,엠벨리 14단지 1401동 주변,불법주정차구역
서울 강서구 마곡동 765,37.56816526,126.8282091,강서구,오스템임플란트연구소 주변,불법주정차구역
마곡동 727-824,37.56413226,126.8272826,강서구,공항철도 마곡역 주변,불법주정차구역
서울 강서구 마곡동 776-1,37.56834315,126.8393695,강서구,대방디엠시티 주변,불법주정차구역
마곡동 730-263,37.56164246,126.820619,강서구,남북통합문화센터 주변,불법주정차구역
서울 강서구 방화동 829,37.57763247,126.811962,강서구,방화서주차장 주변 ,불법주정차구역
등촌동 658-7,37.55715193,126.8507281,강서구,부민병원 뒷편 주변,불법주정차구역
등촌동 691-1,37.56461136,126.8459863,강서구,등촌동성105동 입구 주변,불법주정차구역
마곡동 730-546,37.55684325,126.8199761,강서구,공항동 반야정사 주변,불법주정차구역
마곡동 361-6,37.56709305,126.8236047,강서구,마곡엠벨리712동건너편주변,불법주정차구역
가양동 1474,37.56493573,126.8543533,강서구,가양3단지302동쪽 주변 ,불법주정차구역
서울 강서구 화곡동 1066-1,37.54085056,126.8370523,강서구,화곡역부천방향버스정류장주변,불법주정차구역
서울 강서구 화곡동 110-10,37.54404244,126.8437838,강서구,화곡본동시장(큰도로),불법주정차구역
서울 강서구 마곡동 797-6,37.56011584,126.8336065,강서구,건와빌딩 주변,불법주정차구역
마곡동 747-2,37.55882096,126.8184374,강서구,마곡13단지 정문주변,불법주정차구역
서울 강서구 마곡동 760-1,37.56826624,126.8264063,강서구,공공건축연구원 주변,불법주정차구역
서울 강서구 가양동 1480,37.56353543,126.8524796,강서구,영보빌딩 주변,불법주정차구역
서울 강서구 마곡동 산 3,37.57258333,126.8384491,강서구,궁산전시관 주변,불법주정차구역
서울 강서구 등촌동 630-7,37.55763947,126.858873,강서구,시니어스타워 주변,불법주정차구역
서울 강서구 방화동 879,37.57471642,126.8097236,강서구,한서고등학교 주변,불법주정차구역
서울 강서구 방화동 886,37.56578808,126.8018161,강서구,국제선2층,불법주정차구역
서울 강서구 공항동 1373,37.5598969,126.8026112,강서구,국내선2층,불법주정차구역
서울 강서구 방화동 886,37.56450463,126.8007541,강서구,국제선1층,불법주정차구역
서울 강서구 공항동 1373,37.55831937,126.804845,강서구,국내선1층,불법주정차구역
서울 강서구 공항동 1373,37.56053784,126.8020012,강서구,국내선 행사전용 주차장,불법주정차구역
서울 강서구 화곡동 55-79,37.54101209,126.848401,강서구,화일초교 주변 ,불법주정차구역
서울 강서구 공항동 12-3,37.56307303,126.8152074,강서구,공항중학교 주변,불법주정차구역
서울 강서구 방화동 836,37.57652285,126.8182618,강서구,정곡초교 정문 주변,불법주정차구역
서울 강서구 등촌동 671-3,37.55947101,126.8413352,강서구,원당근린공원 주변,불법주정차구역
서울 강서구 방화동 849,37.57262441,126.8072796,강서구,개화산역 주변,불법주정차구역
서울 강서구 가양동 56-2,37.56639755,126.8448294,강서구,가양오토갤러리 주변,불법주정차구역
등촌동 639-23,37.55763381,126.8560492,강서구,홈플러스강서점뒷편주변,불법주정차구역
염창동 280-17,37.54801667,126.8705355,강서구,서울중앙혈액원 주변,불법주정차구역
서울 강서구 마곡동 734,37.5674397,126.8189913,강서구,신방화역 4번 출구 주변,불법주정차구역
