자치구명,가로쓰레기통 개수,공원 개수,면적당 배출량,1인당 배출량,시도,면적,인구,배출량(C),매립,소각,재활용,기타,기간,아황산가스(ppm),일산화탄소(ppm),이산화질소(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm)
종로구,304,12,36.888331242,0.005448851,서울특별시,23.91,161869,882,52.4,93.7,735.3,0.6,2020,0.004,0.5,0.025,36,22,0.025
중구,360,2,147.409638554,0.010756990,서울특별시,9.96,136488,1468.2,60.2,139.9,1268,0.1,2020,0.003,0.5,0.024,36,23,0.024
용산구,267,2,52.162780064,0.004652813,서울특별시,21.87,245185,1140.8,48.5,73.6,1009.6,9.1,2020,0.003,0.5,0.02,36,20,0.022
성동구,172,5,129.371293001,0.007059379,서울특별시,16.86,308979,2181.2,319.3,120.1,1442.1,299.7,2020,0.003,0.4,0.017,34,19,0.03
광진구,206,2,80.855803048,0.003758870,서울특별시,17.06,366972,1379.4,25,63.5,1290.4,0.5,2020,0.003,0.6,0.02,33,19,0.028
동대문구,172,4,96.146272855,0.003766153,서울특별시,14.22,363023,1367.2,23.2,109,1234.7,0.3,2020,0.003,0.5,0.027,33,21,0.023
중랑구,76,6,85.724324324,0.003944789,서울특별시,18.5,402024,1585.9,27.4,96.7,1461.3,0.5,2020,0.003,0.4,0.025,33,21,0.025
성북구,175,3,55.132275132,0.002978819,서울특별시,24.57,454744,1354.6,12.2,94,1247.6,0.8,2020,0.003,0.6,0.02,34,20,0.024
강북구,215,4,36.059322034,0.002678670,서울특별시,23.6,317695,851,8,70.9,772.1,0,2020,0.003,0.5,0.025,32,19,0.026
도봉구,235,6,39.002904163,0.002400851,서울특별시,20.66,335631,805.8,60.4,78.2,624.4,42.8,2020,0.003,0.5,0.024,35,19,0.024
노원구,54,2,44.906884876,0.002962016,서울특별시,35.44,537303,1591.5,111.7,111.3,1366.8,1.7,2020,0.003,0.6,0.028,36,19,0.024
은평구,295,6,77.791989229,0.004769826,서울특별시,29.71,484546,2311.2,110,54.2,2146.4,0.6,2020,0.003,0.4,0.02,38,21,0.024
서대문구,290,4,91.032331254,0.004966102,서울특별시,17.63,323171,1604.9,34.2,79.3,1490.7,0.7,2020,0.003,0.4,0.018,32,19,0.029
마포구,274,5,82.993710692,0.005128976,서울특별시,23.85,385925,1979.4,71.8,154,1753.4,0.2,2020,0.003,0.5,0.022,34,22,0.027
양천구,216,5,63.624353820,0.002396141,서울특별시,17.41,462285,1107.7,77.3,106.4,923.9,0.1,2020,0.004,0.5,0.026,39,22,0.024
강서구,274,9,71.175193050,0.004930024,서울특별시,41.44,598273,2949.5,160.9,251,2213.8,323.8,2020,0.004,0.4,0.023,38,21,0.025
구로구,325,3,66.272365805,0.003034793,서울특별시,20.12,439371,1333.4,84.5,136.9,1111.4,0.6,2020,0.003,0.3,0.023,37,20,0.028
금천구,139,4,148.763440860,0.007691605,서울특별시,13.02,251820,1936.9,133.6,3.7,1798.5,1.1,2020,0.003,0.5,0.025,35,22,0.022
영등포구,183,5,104.118126273,0.006374537,서울특별시,24.55,400986,2556.1,63.7,108.3,2377.5,6.6,2020,0.003,0.5,0.026,34,21,0.024
동작구,181,7,92.617737003,0.003703242,서울특별시,16.35,408912,1514.3,28.1,74.6,1410.9,0.7,2020,0.003,0.4,0.025,40,22,0.023
관악구,175,2,56.357795063,0.003221323,서울특별시,29.57,517334,1666.5,90.1,43.1,1533.2,0.1,2020,0.003,0.5,0.028,35,19,0.025
서초구,250,6,80.921668795,0.008737391,서울특별시,46.98,435107,3801.7,88.2,146,3566.8,0.7,2020,0.003,0.4,0.027,39,21,0.029
강남구,960,7,94.126582278,0.006757432,서울특별시,39.5,550209,3718,137.4,223.9,3059.5,297.2,2020,0.003,0.5,0.025,32,21,0.026
송파구,301,7,69.474461175,0.003446549,서울특별시,33.87,682741,2353.1,154.5,149.6,2041.2,7.8,2020,0.003,0.5,0.027,34,21,0.024
강동구,436,7,185.258235055,0.010344240,서울특별시,24.59,440390,4555.5,54.5,118.9,4356.1,26,2020,0.003,0.5,0.025,37,23,0.023
