공원명,공원주소,관리부서,시도,위치,자치구명,자치구명 (자치구별 데이터.Csv),지역,1인당 배출량,Latitude,Longitude,X좌표(Wgs84),Y좌표(Wgs84),가로쓰레기통 개수,공원 개수,기간,기타,매립,면적,면적 (자치구별 데이터.Csv),면적당 배출량,미세먼지(㎍/㎥),배출량(C),소각,아황산가스(Ppm),오존(Ppm),이산화질소(Ppm),인구,일산화탄소(Ppm),재활용,초미세먼지(㎍/㎥)
광화문시민열린마당,서울특별시 종로구 세종로 76-2,종로구청 공원녹지과,서울특별시,서울특별시 종로구 경복궁역 4번출구,종로구,종로구,종로구,0.005448851,37.5758597,126.9740416,126.9780227,37.5750449,304,12,2020,0.6,52.4,8948.1,23.91,36.88833124,36,882,93.7,0.004,0.025,0.025,161869,0.5,735.3,22
외국인묘지공원,서울특별시 마포구 양화진길 46(외국인묘지공원),마포구청 공원녹지과,서울특별시,서울특별시 마포구 양화로19 홀트아동복지 앞 택시정류장,마포구,마포구,마포구,0.005128976,37.5490006,126.9112494,126.911414,37.546797,274,5,2020,0.2,71.8,13224,23.85,82.99371069,34,1979.4,154,0.003,0.027,0.022,385925,0.5,1753.4,22
세종로공원,서울특별시 종로구 세종대로 189 (우) 03172,종로구청 공원녹지과,서울특별시,서울특별시 종로구 경복궁역 4번출구,종로구,종로구,종로구,0.005448851,37.5758597,126.9740416,126.9758875,37.5735,304,12,2020,0.6,52.4,8868,23.91,36.88833124,36,882,93.7,0.004,0.025,0.025,161869,0.5,735.3,22
외국인묘지공원,서울특별시 마포구 양화진길 46(외국인묘지공원),마포구청 공원녹지과,서울특별시,서울특별시 마포구 합정역 7번출구쪽 교통섬,마포구,마포구,마포구,0.005128976,37.5499543,126.9121218,126.911414,37.546797,274,5,2020,0.2,71.8,13224,23.85,82.99371069,34,1979.4,154,0.003,0.027,0.022,385925,0.5,1753.4,22
탑골근린공원,서울특별시 종로구 종로 99,종로구청 공원녹지과,서울특별시,서울특별시 종로구 한미귀금속앞,종로구,종로구,종로구,0.005448851,37.5715635,126.9920914,126.9882853,37.5710052,304,12,2020,0.6,52.4,19599.7,23.91,36.88833124,36,882,93.7,0.004,0.025,0.025,161869,0.5,735.3,22
외국인묘지공원,서울특별시 마포구 양화진길 46(외국인묘지공원),마포구청 공원녹지과,서울특별시,서울특별시 마포구 합정역 6번출구쪽 교통섬,마포구,마포구,마포구,0.005128976,37.5437864,126.9135042,126.911414,37.546797,274,5,2020,0.2,71.8,13224,23.85,82.99371069,34,1979.4,154,0.003,0.027,0.022,385925,0.5,1753.4,22
마로니에공원,서울특별시 종로구 대학로8길 1,종로구청 공원녹지과,서울특별시,서울특별시 종로구 함춘회관앞,종로구,종로구,종로구,0.005448851,37.5800076,127.0019347,127.0027886,37.5802295,304,12,2020,0.6,52.4,5802,23.91,36.88833124,36,882,93.7,0.004,0.025,0.025,161869,0.5,735.3,22
외국인묘지공원,서울특별시 마포구 양화진길 46(외국인묘지공원),마포구청 공원녹지과,서울특별시,서울특별시 마포구 독막로5 합정역6 번출구앞,마포구,마포구,마포구,0.005128976,37.5489349,126.914283,126.911414,37.546797,274,5,2020,0.2,71.8,13224,23.85,82.99371069,34,1979.4,154,0.003,0.027,0.022,385925,0.5,1753.4,22
훈련원근린공원,서울특별시 중구 을지로 227,중구청 공원녹지과,서울특별시,서울특별시 종로구 우리은행앞,종로구,종로구,중구,0.005448851,37.570007,127.0016616,127.0038188,37.5675245,304,12,2020,0.6,52.4,16734.6,23.91,36.88833124,36,882,93.7,0.004,0.025,0.025,161869,0.5,735.3,22
마로니에공원,서울특별시 종로구 대학로8길 1,종로구청 공원녹지과,서울특별시,서울특별시 종로구 서울대학교암병원앞,종로구,종로구,종로구,0.005448851,37.5787439,126.9975578,127.0027886,37.5802295,304,12,2020,0.6,52.4,5802,23.91,36.88833124,36,882,93.7,0.004,0.025,0.025,161869,0.5,735.3,22
외국인묘지공원,서울특별시 마포구 양화진길 46(외국인묘지공원),마포구청 공원녹지과,서울특별시,서울특별시 마포구 독막로 27 NH농협은행앞,마포구,마포구,마포구,0.005128976,37.5485338,126.9163154,126.911414,37.546797,274,5,2020,0.2,71.8,13224,23.85,82.99371069,34,1979.4,154,0.003,0.027,0.022,385925,0.5,1753.4,22
숭인근린공원,서울특별시 종로구 숭인동 58,종로구청 공원녹지과,서울특별시,서울특별시 종로구 지봉로54,종로구,종로구,종로구,0.005448851,37.5747455,127.0158539,127.0178267,37.5764419,304,12,2020,0.6,52.4,45615,23.91,36.88833124,36,882,93.7,0.004,0.025,0.025,161869,0.5,735.3,22
외국인묘지공원,서울특별시 마포구 양화진길 46(외국인묘지공원),마포구청 공원녹지과,서울특별시,서울특별시 마포구 양화로36 할리스커피 공원분수앞,마포구,마포구,마포구,0.005128976,37.5484719,126.9132859,126.911414,37.546797,274,5,2020,0.2,71.8,13224,23.85,82.99371069,34,1979.4,154,0.003,0.027,0.022,385925,0.5,1753.4,22
